epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4201,0.66692,2.93893,1.23816,0.58901,0.34061,0.40434,0.23993,1.39045,2.69678,2.09387,0.000541419,0.000541419,0.000541419
2,38.6074,0.64186,1.30444,1.22577,0.68423,0.69528,0.69408,0.31607,2.05182,2.17065,3.7895,0.000988474,0.000988474,0.000988474
3,46.7455,0.7127,1.18789,1.29059,0.53301,0.8125,0.75534,0.46084,0.96066,2.61215,1.90232,0.00132551,0.00132551,0.00132551
4,54.9049,0.69009,1.0963,1.25752,0.75294,0.6286,0.80799,0.58733,0.88561,1.5346,1.68911,0.0011719,0.0011719,0.0011719
5,63.263,0.65746,0.92494,1.21858,0.83677,0.8375,0.8879,0.67981,0.76504,1.16082,1.40746,0.00100687,0.00100687,0.00100687
6,71.945,0.57929,0.7146,1.15995,0.7804,0.822,0.84538,0.66055,0.84549,1.12247,1.42936,0.000841835,0.000841835,0.000841835
7,80.964,0.55143,0.76369,1.13845,0.77944,0.75501,0.8038,0.69636,0.59074,1.25286,1.19823,0.000676802,0.000676802,0.000676802
8,90.3789,0.51277,0.57361,1.11411,0.91611,0.975,0.97524,0.84688,0.55052,0.52312,1.15867,0.000511769,0.000511769,0.000511769
9,99.9425,0.46916,0.52789,1.05117,0.94785,0.925,0.98245,0.88974,0.49353,0.45549,1.05922,0.000346736,0.000346736,0.000346736
10,109.669,0.44661,0.47743,1.03208,0.97515,0.9849,0.98984,0.89849,0.45643,0.40373,1.01477,0.000181703,0.000181703,0.000181703
