epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3896,0.56674,4.02543,1.13148,0.17163,0.55076,0.24147,0.20234,0.56838,2.0494,1.12893,0.000158193,0.000158193,0.000158193
2,175.771,0.51848,2.14758,1.09367,0.21711,0.48631,0.317,0.27593,0.55148,1.76026,1.10157,0.000285491,0.000285491,0.000285491
3,259.598,0.53187,1.89585,1.09805,0.24578,0.53335,0.37812,0.32193,0.58673,1.71933,1.14765,0.000381372,0.000381372,0.000381372
4,346.555,0.5092,1.74479,1.06967,0.33847,0.52662,0.44784,0.39035,0.54901,1.59747,1.08024,0.000334628,0.000334628,0.000334628
5,433.168,0.46952,1.56418,1.03646,0.45009,0.55082,0.51887,0.46155,0.51126,1.47626,1.04991,0.000287504,0.000287504,0.000287504
6,523.796,0.45335,1.37765,1.02264,0.51106,0.62427,0.62175,0.55847,0.49612,1.23383,1.0424,0.00024038,0.00024038,0.00024038
7,616.411,0.43223,1.22768,1.00627,0.54281,0.64236,0.65452,0.58677,0.48547,1.16923,1.01969,0.000193256,0.000193256,0.000193256
8,711.341,0.40449,1.08832,0.98021,0.64072,0.64692,0.68621,0.62283,0.46918,1.10212,1.006,0.000146132,0.000146132,0.000146132
9,808.244,0.3948,0.9324,0.97207,0.65762,0.72045,0.74315,0.67452,0.45847,0.96634,0.99477,9.9008e-05,9.9008e-05,9.9008e-05
10,906.427,0.3737,0.83421,0.95076,0.72602,0.72001,0.7709,0.70054,0.4506,0.91265,0.99421,5.1884e-05,5.1884e-05,5.1884e-05
